row_type,priority_rank,priority_tier,category,candidate,ligand,receptor,evidence_summary,delta_TAC_high_minus_other,pair_FDR,boundary_call,CAF_score_rho,CAF_score_FDR,fibroblast_signature_rho,fibroblast_signature_FDR,perk_caf_ecology_rho,perk_caf_ecology_FDR,structural_class,recommended_followup,claim_boundary,structural_followup_score
ligand_receptor_pair,11,high,MIF_SPP1_axis,MIF->CXCR4,MIF,CXCR4,delta=0.454; pair FDR=0.039; CAF rho=0.251/FDR=0.086; fibroblast-signature rho=0.254/FDR=0.080; PERK-CAF ecology rho=0.464/FDR=0.002,0.454,0.039,TAC_high_higher_FDR,0.251,0.086,0.254,0.080,0.464,0.002,MIF receptor bridge,prioritize receptor activation/proximity assays and pathway readouts; structural modelling is secondary to receptor-state validation,"Candidate structural/assay follow-up only; ligand-receptor scores do not prove physical communication, receptor activation, TMEM158 binding or causality.",0.7504
ligand_receptor_pair,12,medium,TGF_beta_activin,INHBA->ACVR2A,INHBA,ACVR2A,delta=0.401; pair FDR=0.088; CAF rho=0.427/FDR=0.001; fibroblast-signature rho=0.473/FDR=3.11e-04; PERK-CAF ecology rho=0.427/FDR=0.004,0.401,0.088,TAC_high_higher_FDR,0.427,0.001,0.473,3.11e-04,0.427,0.004,TGF-beta/activin signalling bridge,follow only if expression evidence is positive; receptor phosphorylation/readout assays outrank static modelling,"Candidate structural/assay follow-up only; ligand-receptor scores do not prove physical communication, receptor activation, TMEM158 binding or causality.",0.7204
ligand_receptor_pair,13,medium,ECM_integrin,COL3A1->ITGB1,COL3A1,ITGB1,delta=0.311; pair FDR=0.114; CAF rho=0.717/FDR=1.10e-09; fibroblast-signature rho=0.710/FDR=1.70e-09; PERK-CAF ecology rho=0.347/FDR=0.022,0.311,0.114,TAC_high_higher_nominal,0.717,1.10e-09,0.710,1.70e-09,0.347,0.022,collagen-integrin matrix bridge,module-level structural follow-up; collagen multimer context makes biochemical and spatial validation more important than single-pair modelling,"Candidate structural/assay follow-up only; ligand-receptor scores do not prove physical communication, receptor activation, TMEM158 binding or causality.",0.6298
ligand_receptor_pair,14,medium,ECM_integrin,COL6A1->ITGA1,COL6A1,ITGA1,delta=0.426; pair FDR=0.102; CAF rho=0.557/FDR=1.13e-05; fibroblast-signature rho=0.582/FDR=3.34e-06; PERK-CAF ecology rho=0.416/FDR=0.004,0.426,0.102,TAC_high_higher_nominal,0.557,1.13e-05,0.582,3.34e-06,0.416,0.004,collagen-integrin matrix bridge,module-level structural follow-up; collagen multimer context makes biochemical and spatial validation more important than single-pair modelling,"Candidate structural/assay follow-up only; ligand-receptor scores do not prove physical communication, receptor activation, TMEM158 binding or causality.",0.622
ligand_receptor_pair,15,medium,ECM_integrin,COL6A3->ITGA1,COL6A3,ITGA1,delta=0.278; pair FDR=0.115; CAF rho=0.649/FDR=1.01e-07; fibroblast-signature rho=0.679/FDR=1.59e-08; PERK-CAF ecology rho=0.454/FDR=0.002,0.278,0.115,TAC_high_higher_nominal,0.649,1.01e-07,0.679,1.59e-08,0.454,0.002,collagen-integrin matrix bridge,module-level structural follow-up; collagen multimer context makes biochemical and spatial validation more important than single-pair modelling,"Candidate structural/assay follow-up only; ligand-receptor scores do not prove physical communication, receptor activation, TMEM158 binding or causality.",0.6093
ligand_receptor_pair,16,medium,ECM_integrin,COL3A1->ITGA2,COL3A1,ITGA2,delta=0.331; pair FDR=0.108; CAF rho=0.618/FDR=5.51e-07; fibroblast-signature rho=0.625/FDR=4.31e-07; PERK-CAF ecology rho=0.326/FDR=0.028,0.331,0.108,TAC_high_higher_nominal,0.618,5.51e-07,0.625,4.31e-07,0.326,0.028,collagen-integrin matrix bridge,module-level structural follow-up; collagen multimer context makes biochemical and spatial validation more important than single-pair modelling,"Candidate structural/assay follow-up only; ligand-receptor scores do not prove physical communication, receptor activation, TMEM158 binding or causality.",0.6083
ligand_receptor_pair,17,medium,ECM_integrin,COL1A1->ITGA2,COL1A1,ITGA2,delta=0.208; pair FDR=0.102; CAF rho=0.601/FDR=1.45e-06; fibroblast-signature rho=0.623/FDR=4.36e-07; PERK-CAF ecology rho=0.338/FDR=0.023,0.208,0.102,TAC_high_higher_nominal,0.601,1.45e-06,0.623,4.36e-07,0.338,0.023,collagen-integrin matrix bridge,module-level structural follow-up; collagen multimer context makes biochemical and spatial validation more important than single-pair modelling,"Candidate structural/assay follow-up only; ligand-receptor scores do not prove physical communication, receptor activation, TMEM158 binding or causality.",0.5735
ligand_receptor_pair,18,medium,ECM_integrin,COL1A2->ITGB1,COL1A2,ITGB1,delta=0.283; pair FDR=0.136; CAF rho=0.676/FDR=1.91e-08; fibroblast-signature rho=0.686/FDR=1.02e-08; PERK-CAF ecology rho=0.261/FDR=0.092,0.283,0.136,not_FDR_TAC_high_higher,0.676,1.91e-08,0.686,1.02e-08,0.261,0.092,collagen-integrin matrix bridge,module-level structural follow-up; collagen multimer context makes biochemical and spatial validation more important than single-pair modelling,"Candidate structural/assay follow-up only; ligand-receptor scores do not prove physical communication, receptor activation, TMEM158 binding or causality.",0.5079
ligand_receptor_pair,19,low,ECM_integrin,COL6A2->ITGA1,COL6A2,ITGA1,delta=0.396; pair FDR=0.149; CAF rho=0.500/FDR=1.23e-04; fibroblast-signature rho=0.538/FDR=2.55e-05; PERK-CAF ecology rho=0.347/FDR=0.022,0.396,0.149,not_FDR_TAC_high_higher,0.500,1.23e-04,0.538,2.55e-05,0.347,0.022,collagen-integrin matrix bridge,module-level structural follow-up; collagen multimer context makes biochemical and spatial validation more important than single-pair modelling,"Candidate structural/assay follow-up only; ligand-receptor scores do not prove physical communication, receptor activation, TMEM158 binding or causality.",0.4957
ligand_receptor_pair,20,low,ECM_integrin,FN1->ITGB1,FN1,ITGB1,delta=0.221; pair FDR=0.246; CAF rho=0.561/FDR=9.27e-06; fibroblast-signature rho=0.596/FDR=1.80e-06; PERK-CAF ecology rho=0.210/FDR=0.191,0.221,0.246,not_FDR_TAC_high_higher,0.561,9.27e-06,0.596,1.80e-06,0.210,0.191,ECM-integrin adhesion bridge,"defined-partner AlphaFold Server co-modelling or docking as a hypothesis generator; prioritize orthogonal proximity, spatial co-expression and integrin-activation assays","Candidate structural/assay follow-up only; ligand-receptor scores do not prove physical communication, receptor activation, TMEM158 binding or causality.",0.4742
